n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
22	MODEL	0.9963	17.4969	3	apparentTempC,windSpeedKPH,cloudCover	13.4168	0.5640	20.5801	1.9736											-1.8311	-0.2883					-1.1117	-2.5044																	4	0.3636	0.5455	0.0720	0.1818	0.3561	22	0	0
23	MODEL	0.9932	27.8401	2	apparentTempC,windSpeedKPH	13.0215	0.0788	19.5411	1.9066											-1.7854	-0.2818																							3	0.2609	0.3913	0.0457	0.1304	0.3462	21	2	0
24	MODEL	0.9933	27.6521	2	apparentTempC,windSpeedKPH	12.4717	0.0807	19.2674	1.9064											-1.7610	-0.2814																							3	0.2500	0.3750	0.0431	0.1250	0.3419	22	2	0
25	MODEL	0.9933	27.5112	2	apparentTempC,windSpeedKPH	12.2390	0.1247	18.9297	1.9059											-1.7907	-0.2846																							3	0.2400	0.3600	0.0419	0.1200	0.3373	23	2	0
26	MODEL	0.9942	26.9759	3	apparentTempC,windSpeedKPH,cloudCover	11.6831	0.5053	19.0741	1.9360											-1.5565	-0.2480					-0.7756	-1.7456																	4	0.3077	0.4615	0.0661	0.1538	0.3356	25	1	0
27	MODEL	0.9934	29.0512	2	apparentTempC,windSpeedKPH	12.6142	0.1549	18.9324	1.8958											-1.6584	-0.2688																							3	0.2222	0.3333	0.0385	0.1111	0.2959	25	2	0
28	MODEL	0.9942	28.2128	3	apparentTempC,windSpeedKPH,cloudCover	12.4769	0.4713	18.8773	1.9240											-1.4583	-0.2388					-0.7230	-1.6327																	4	0.2857	0.4286	0.0641	0.1429	0.3129	27	1	0
29	MODEL	0.9938	31.1444	3	apparentTempC,windSpeedKPH,cloudCover	11.6446	0.5183	19.0303	1.9136											-1.3316	-0.2141					-0.7894	-1.7882																	4	0.2759	0.4138	0.0640	0.1379	0.2871	28	1	0
30	MODEL	0.9942	32.2411	3	apparentTempC,windSpeedKPH,cloudCover	12.8170	0.4731	19.6794	1.8989											-1.3001	-0.2120					-0.6904	-1.5862																	4	0.2667	0.4000	0.0613	0.1333	0.2612	30	0	0
31	MODEL	0.9942	32.0422	3	apparentTempC,windSpeedKPH,cloudCover	13.0664	0.4450	19.3767	1.8975											-1.2784	-0.2114					-0.6678	-1.5402																	4	0.2581	0.3871	0.0611	0.1290	0.2612	29	2	0
32	MODEL	0.9943	32.0020	3	apparentTempC,windSpeedKPH,cloudCover	12.5529	0.4895	19.2994	1.8959											-1.2522	-0.2105					-0.6813	-1.5783																	4	0.2500	0.3750	0.0594	0.1250	0.2611	30	2	0
33	MODEL	0.9942	32.8276	3	apparentTempC,windSpeedKPH,cloudCover	12.2244	0.4827	19.0967	1.9013											-1.2374	-0.2108					-0.7847	-1.7872																	4	0.2424	0.3636	0.0575	0.1212	0.2553	31	2	0
34	MODEL	0.9941	33.7219	3	apparentTempC,windSpeedKPH,cloudCover	11.7670	0.5513	19.0104	1.8983											-1.1974	-0.2067					-0.8164	-1.8668																	4	0.2353	0.3529	0.0572	0.1176	0.2552	32	2	0
35	MODEL	0.9969	34.3631	4	apparentTempC,cloudCover,windSpeedKPH,humidity	14.6469	3.1669	20.8362	1.9683							-1.1561	-6.4769			-1.1384	-0.1822					-10.3313	-0.6149																	5	0.2857	0.4286	0.0397	0.1429	0.9995	34	0	1
36	MODEL	0.9958	43.3183	3	apparentTempC,cloudCover,windSpeedKPH	14.0041	0.2080	19.8827	1.8860											-1.3948	-0.2265					-10.2731	-0.6200																	4	0.2222	0.3333	0.0291	0.1111	0.9994	33	2	1
37	MODEL	0.9960	43.8577	3	apparentTempC,cloudCover,windSpeedKPH	15.0630	0.3020	20.8290	1.8778											-1.4656	-0.2356					-10.1931	-0.6235																	4	0.2162	0.3243	0.0283	0.1081	0.9994	36	0	1
38	MODEL	0.9959	45.3375	3	apparentTempC,cloudCover,windSpeedKPH	15.5924	0.3561	20.8405	1.8834											-1.4845	-0.2411					-10.0426	-0.6225																	4	0.2105	0.3158	0.0277	0.1053	0.9994	37	0	1
39	MODEL	0.9958	46.1409	3	apparentTempC,cloudCover,windSpeedKPH	15.4337	0.3994	20.5765	1.8824											-1.4612	-0.2405					-9.9085	-0.6222																	4	0.2051	0.3077	0.0270	0.1026	0.9994	37	1	1
40	MODEL	0.9958	46.9586	3	apparentTempC,cloudCover,windSpeedKPH	15.0550	0.3904	20.3908	1.8798											-1.4096	-0.2317					-9.7662	-0.6210																	4	0.2000	0.3000	0.0261	0.1000	0.9994	38	1	1
41	MODEL	0.9956	48.3349	3	apparentTempC,cloudCover,windSpeedKPH	15.4072	0.4179	20.2978	1.8751											-1.4261	-0.2366					-9.6830	-0.6233																	4	0.1951	0.2927	0.0255	0.0976	0.9994	39	1	1
42	MODEL	0.9954	50.5201	3	apparentTempC,cloudCover,windSpeedKPH	15.6728	0.5740	20.1177	1.8780											-1.5334	-0.2519					-9.5827	-0.6244																	4	0.1905	0.2857	0.0250	0.0952	0.9994	40	1	1
43	MODEL	0.9949	55.5879	3	apparentTempC,cloudCover,windSpeedKPH	15.5026	0.4113	19.8692	1.8747											-1.3704	-0.2167					-9.3919	-0.6192																	4	0.1860	0.2791	0.0243	0.0930	0.9993	41	1	1
44	MODEL	0.9962	58.4517	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	17.7236	-0.0334	21.2055	1.9171											-1.0856	-0.1732			-1.1643	-1.6485	-12.9324	-0.6173																	5	0.2273	0.3409	0.0262	0.1136	0.6660	40	1	3
45	MODEL	0.9962	59.3136	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	17.1452	-0.0910	21.2706	1.9216											-1.0814	-0.1745			-1.1719	-1.6759	-12.7923	-0.6174																	5	0.2222	0.3333	0.0256	0.1111	0.6659	41	1	3
46	MODEL	0.9963	59.5929	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	16.7880	-0.0965	21.1260	1.9224											-1.0921	-0.1772			-1.1543	-1.6669	-12.6545	-0.6173																	5	0.2174	0.3261	0.0249	0.1087	0.6652	42	1	3
47	MODEL	0.9963	59.5913	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	17.1065	-0.0954	21.0188	1.9225											-1.1034	-0.1773			-1.1441	-1.6680	-12.5220	-0.6174																	5	0.2128	0.3191	0.0243	0.1064	0.6652	43	1	3
48	MODEL	0.9962	60.0098	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	17.2287	-0.1189	20.8039	1.9202											-1.0865	-0.1759			-1.1052	-1.6266	-12.3841	-0.6169																	5	0.2083	0.3125	0.0237	0.1042	0.6647	44	1	3
49	MODEL	0.9962	61.2866	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	16.8555	-0.0618	20.7049	1.9163											-1.0669	-0.1745			-1.0841	-1.6104	-12.2585	-0.6169																	5	0.2041	0.3061	0.0232	0.1020	0.6647	45	1	3
50	MODEL	0.9964	65.0704	3	apparentTempC,cloudCover,windSpeedKPH	18.6413	0.1258	20.6123	1.8759											-1.1538	-0.1871					-13.8488	-0.5808																	4	0.1600	0.2400	0.0216	0.0800	0.4038	46	1	3
51	MODEL	0.9964	65.5576	3	apparentTempC,cloudCover,windSpeedKPH	18.9461	0.0965	20.6097	1.8786											-1.1304	-0.1833					-13.6964	-0.5799																	4	0.1569	0.2353	0.0213	0.0784	0.4018	47	1	3
52	MODEL	0.9964	67.7658	3	apparentTempC,cloudCover,windSpeedKPH	18.1656	0.1947	20.9259	1.8857											-1.4034	-0.2080					-13.5611	-0.5796																	4	0.1538	0.2308	0.0209	0.0769	0.3916	47	1	4
53	MODEL	0.9963	69.5592	3	apparentTempC,cloudCover,windSpeedKPH	17.8715	0.0972	20.8043	1.8881											-1.3677	-0.2041					-13.4325	-0.5794																	4	0.1509	0.2264	0.0204	0.0755	0.3910	48	1	4
54	MODEL	0.9962	71.7170	3	apparentTempC,cloudCover,windSpeedKPH	18.0659	0.1044	20.7031	1.8917											-1.3435	-0.2023					-13.2816	-0.5781																	4	0.1481	0.2222	0.0200	0.0741	0.3909	49	1	4
55	MODEL	0.9968	72.2765	3	apparentTempC,cloudCover,windSpeedKPH	19.7638	0.1504	21.0723	1.8912											-1.3838	-0.2071					-15.1460	-0.5816																	4	0.1455	0.2182	0.0200	0.0727	0.3339	49	1	5
56	MODEL	0.9968	72.7072	3	apparentTempC,cloudCover,windSpeedKPH	19.4328	0.1279	20.9357	1.8906											-1.3886	-0.2018					-15.0182	-0.5815																	4	0.1429	0.2143	0.0198	0.0714	0.3282	50	2	4
57	MODEL	0.9963	81.7690	3	apparentTempC,cloudCover,windSpeedKPH	19.7669	0.3040	20.9562	1.8999											-1.5106	-0.2184					-14.8148	-0.5784																	4	0.1404	0.2105	0.0194	0.0702	0.3265	51	2	4
58	MODEL	0.9963	82.1389	3	apparentTempC,cloudCover,windSpeedKPH	19.9341	0.3256	20.8340	1.9006											-1.5302	-0.2203					-14.6876	-0.5781																	4	0.1379	0.2069	0.0190	0.0690	0.3248	52	2	4
59	MODEL	0.9962	83.0382	3	apparentTempC,cloudCover,windSpeedKPH	19.7398	0.2481	20.6937	1.9019											-1.5029	-0.2155					-14.5685	-0.5781																	4	0.1356	0.2034	0.0186	0.0678	0.3228	53	2	4
60	MODEL	0.9962	83.3299	3	apparentTempC,cloudCover,windSpeedKPH	19.7002	0.2525	20.5201	1.9021											-1.4889	-0.2153					-14.4495	-0.5780																	4	0.1333	0.2000	0.0183	0.0667	0.3228	54	2	4
61	MODEL	0.9962	83.6216	3	apparentTempC,cloudCover,windSpeedKPH	19.6369	0.2736	20.3493	1.9020											-1.5040	-0.2167					-14.3357	-0.5780																	4	0.1311	0.1967	0.0180	0.0656	0.3210	55	2	4
62	MODEL	0.9963	84.1459	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	19.5088	-0.2095	20.5687	1.9380											-1.2349	-0.1774			-0.7887	-1.2601	-14.5384	-0.5907																	5	0.1613	0.2419	0.0185	0.0806	0.5618	56	1	5
63	MODEL	0.9964	84.3225	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	18.9864	-0.2115	20.6865	1.9376											-1.2575	-0.1761			-0.7856	-1.2640	-14.4303	-0.5908																	5	0.1587	0.2381	0.0181	0.0794	0.5615	57	1	5
64	MODEL	0.9960	89.6247	3	apparentTempC,cloudCover,windSpeedKPH	18.5367	0.2188	20.3577	1.8950											-1.4403	-0.2021					-14.0431	-0.5793																	4	0.1250	0.1875	0.0170	0.0625	0.3154	58	2	4
65	MODEL	0.9961	89.9698	3	apparentTempC,cloudCover,windSpeedKPH	18.0557	0.2044	20.4743	1.8963											-1.4372	-0.2026					-13.9351	-0.5791																	4	0.1231	0.1846	0.0166	0.0615	0.3153	59	2	4
66	MODEL	0.9963	89.1190	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	17.9992	-0.1221	20.6923	1.9312											-1.2101	-0.1719			-0.7677	-1.2609	-14.1269	-0.5914																	5	0.1515	0.2273	0.0172	0.0758	0.5606	60	1	5
67	MODEL	0.9959	93.7666	3	apparentTempC,cloudCover,windSpeedKPH	17.8284	0.1820	20.1782	1.8969											-1.4136	-0.2023					-13.7390	-0.5792																	4	0.1194	0.1791	0.0158	0.0597	0.3153	61	2	4
68	MODEL	0.9966	92.1630	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	19.1450	-0.1788	20.8205	1.9319											-1.1874	-0.1713			-0.7671	-1.2702	-15.4864	-0.5928																	5	0.1471	0.2206	0.0169	0.0735	0.5541	61	1	6
69	MODEL	0.9966	92.4173	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	18.7392	-0.1639	20.8590	1.9308											-1.1797	-0.1712			-0.7586	-1.2642	-15.3821	-0.5928																	5	0.1449	0.2174	0.0166	0.0725	0.5538	62	1	6
70	MODEL	0.9965	97.1320	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	18.3064	-0.2140	20.9261	1.9363											-1.2168	-0.1769			-0.7538	-1.2642	-15.2620	-0.5922																	5	0.1429	0.2143	0.0163	0.0714	0.5538	63	1	6
71	MODEL	0.9965	97.3452	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	18.0013	-0.2073	20.9021	1.9360											-1.2242	-0.1773			-0.7471	-1.2608	-15.1600	-0.5922																	5	0.1408	0.2113	0.0160	0.0704	0.5517	64	1	6
72	MODEL	0.9965	97.7515	4	apparentTempC,cloudCover,windSpeedKPH,precipitationMM	17.5596	-0.2119	20.9848	1.9373											-1.2445	-0.1793			-0.7417	-1.2595	-15.0560	-0.5920																	5	0.1389	0.2083	0.0158	0.0694	0.5517	65	1	6
73	MODEL	0.9961	104.6883	3	apparentTempC,cloudCover,windSpeedKPH	17.3549	0.3229	20.4939	1.8969											-1.5357	-0.2204					-14.7140	-0.5823																	4	0.1096	0.1644	0.0147	0.0548	0.2615	65	3	5
74	MODEL	0.9961	105.4357	3	apparentTempC,cloudCover,windSpeedKPH	17.1421	0.2957	20.3975	1.8978											-1.5227	-0.2201					-14.6214	-0.5823																	4	0.1081	0.1622	0.0145	0.0541	0.2614	66	3	5
75	MODEL	0.9959	109.7090	3	apparentTempC,cloudCover,windSpeedKPH	17.4770	0.4248	20.5160	1.8843											-1.6028	-0.2314					-14.6189	-0.5858																	4	0.1067	0.1600	0.0143	0.0533	0.2594	68	2	5
76	MODEL	0.9959	110.6850	3	apparentTempC,cloudCover,windSpeedKPH	17.1193	0.4519	20.5380	1.8818											-1.5867	-0.2300					-14.5356	-0.5862																	4	0.1053	0.1579	0.0141	0.0526	0.2593	69	2	5
77	MODEL	0.9957	114.5527	3	apparentTempC,cloudCover,windSpeedKPH	16.9536	0.5181	20.4219	1.8790											-1.5732	-0.2295					-14.4490	-0.5863																	4	0.1039	0.1558	0.0140	0.0519	0.2593	69	3	5
78	MODEL	0.9952	123.8230	3	apparentTempC,cloudCover,windSpeedKPH	16.6513	0.4884	20.3787	1.8713											-1.4658	-0.2109					-14.3838	-0.5873																	4	0.1026	0.1538	0.0138	0.0513	0.2575	70	3	5
79	MODEL	0.9952	124.2968	3	apparentTempC,cloudCover,windSpeedKPH	16.6847	0.4922	20.2569	1.8714											-1.4607	-0.2110					-14.2957	-0.5872																	4	0.1013	0.1519	0.0136	0.0506	0.2573	71	3	5
80	MODEL	0.9957	124.9731	3	apparentTempC,cloudCover,windSpeedKPH	17.8214	0.4835	20.5288	1.8714											-1.4473	-0.2100					-15.5103	-0.5890																	4	0.1000	0.1500	0.0136	0.0500	0.2183	70	4	6
81	MODEL	0.9958	125.4173	3	apparentTempC,cloudCover,windSpeedKPH	18.2133	0.4833	20.7798	1.8717											-1.4414	-0.2100					-15.4199	-0.5890																	4	0.0988	0.1481	0.0134	0.0494	0.2183	73	2	6
82	MODEL	0.9957	127.6964	3	apparentTempC,cloudCover,windSpeedKPH	18.5349	0.5108	20.9023	1.8641											-1.4427	-0.2115					-15.3859	-0.5910																	4	0.0976	0.1463	0.0132	0.0488	0.2182	74	2	6
83	MODEL	0.9957	128.7774	3	apparentTempC,cloudCover,windSpeedKPH	18.3970	0.4905	20.7862	1.8644											-1.4364	-0.2118					-15.3023	-0.5911																	4	0.0964	0.1446	0.0130	0.0482	0.2182	75	2	6
84	MODEL	0.9957	129.7555	3	apparentTempC,cloudCover,windSpeedKPH	18.0233	0.5051	20.8497	1.8622											-1.4222	-0.2095					-15.2234	-0.5914																	4	0.0952	0.1429	0.0129	0.0476	0.2178	76	2	6
85	MODEL	0.9957	130.2730	3	apparentTempC,cloudCover,windSpeedKPH	17.8080	0.5318	20.7962	1.8614											-1.4385	-0.2111					-15.1413	-0.5915																	4	0.0941	0.1412	0.0127	0.0471	0.2165	77	2	6
86	MODEL	0.9957	131.2700	3	apparentTempC,cloudCover,windSpeedKPH	18.1317	0.5452	20.9497	1.8575											-1.4353	-0.2119					-15.0864	-0.5926																	4	0.0930	0.1395	0.0125	0.0465	0.2164	78	2	6
87	MODEL	0.9958	131.6995	3	apparentTempC,cloudCover,windSpeedKPH	17.7980	0.5417	20.9894	1.8578											-1.4313	-0.2120					-15.0034	-0.5925																	4	0.0920	0.1379	0.0124	0.0460	0.2163	79	2	6
88	MODEL	0.9958	132.1242	3	apparentTempC,cloudCover,windSpeedKPH	17.6244	0.5411	20.8934	1.8578											-1.4292	-0.2115					-14.9233	-0.5925																	4	0.0909	0.1364	0.0123	0.0455	0.2158	80	2	6
89	MODEL	0.9958	132.5624	3	apparentTempC,cloudCover,windSpeedKPH	17.2693	0.5360	20.9652	1.8584											-1.4296	-0.2120					-14.8419	-0.5924																	4	0.0899	0.1348	0.0122	0.0449	0.2156	81	2	6
90	MODEL	0.9958	132.9903	3	apparentTempC,cloudCover,windSpeedKPH	17.4123	0.5405	20.9296	1.8577											-1.4284	-0.2126					-14.7698	-0.5926																	4	0.0889	0.1333	0.0120	0.0444	0.2152	82	2	6
91	MODEL	0.9958	133.8527	3	apparentTempC,cloudCover,windSpeedKPH	17.4624	0.5344	20.8425	1.8588											-1.4119	-0.2109					-14.6833	-0.5922																	4	0.0879	0.1319	0.0119	0.0440	0.2149	83	2	6
92	MODEL	0.9958	136.3210	3	apparentTempC,cloudCover,windSpeedKPH	17.8133	0.4670	21.1189	1.8659											-1.3708	-0.2051					-14.5625	-0.5903																	4	0.0870	0.1304	0.0118	0.0435	0.2139	84	2	6
93	MODEL	0.9958	136.7784	3	apparentTempC,cloudCover,windSpeedKPH	17.4905	0.4613	21.1671	1.8666											-1.3721	-0.2057					-14.4861	-0.5902																	4	0.0860	0.1290	0.0117	0.0430	0.2138	85	2	6
94	MODEL	0.9957	139.3880	3	apparentTempC,cloudCover,windSpeedKPH	17.1814	0.4832	21.1942	1.8629											-1.3457	-0.2017					-14.4239	-0.5907																	4	0.0851	0.1277	0.0115	0.0426	0.2135	86	2	6
95	MODEL	0.9957	140.5889	3	apparentTempC,cloudCover,windSpeedKPH	17.0982	0.5276	21.0854	1.8622											-1.3554	-0.2037					-14.3506	-0.5907																	4	0.0842	0.1263	0.0114	0.0421	0.2133	87	2	6
96	MODEL	0.9957	141.0033	3	apparentTempC,cloudCover,windSpeedKPH	16.8725	0.5343	21.0545	1.8619											-1.3486	-0.2038					-14.2802	-0.5907																	4	0.0833	0.1250	0.0112	0.0417	0.2133	88	2	6
97	MODEL	0.9958	141.4126	3	apparentTempC,cloudCover,windSpeedKPH	16.5934	0.5393	21.0722	1.8614											-1.3423	-0.2036					-14.2112	-0.5907																	4	0.0825	0.1237	0.0111	0.0412	0.2132	89	2	6
98	MODEL	0.9958	141.8540	3	apparentTempC,cloudCover,windSpeedKPH	16.3434	0.5570	21.0754	1.8608											-1.3434	-0.2043					-14.1448	-0.5908																	4	0.0816	0.1224	0.0109	0.0408	0.2128	90	2	6
99	MODEL	0.9958	142.2102	3	apparentTempC,cloudCover,windSpeedKPH	16.0622	0.5580	21.0984	1.8606											-1.3403	-0.2042					-14.0770	-0.5908																	4	0.0808	0.1212	0.0108	0.0404	0.2126	91	2	6
100	MODEL	0.9958	143.3233	3	apparentTempC,cloudCover,windSpeedKPH	15.9078	0.4937	21.0429	1.8620											-1.3197	-0.2001					-14.0067	-0.5907																	4	0.0800	0.1200	0.0107	0.0400	0.2116	92	2	6
