n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
31	MODEL	0.9620	59.4327	1	apparentTempC	50.5381	-3.6951	12.4169	2.0203																																			2	0.1290	0.1935	0.0323	0.0645	0.1654	29	2	0
32	MODEL	0.9620	60.1791	1	apparentTempC	50.5713	-3.6924	12.2164	2.0204																																			2	0.1250	0.1875	0.0313	0.0625	0.1640	30	2	0
33	MODEL	0.9635	61.3224	1	apparentTempC	51.0761	-3.9088	12.3657	2.0302																																			2	0.1212	0.1818	0.0303	0.0606	0.1525	31	2	0
34	MODEL	0.9620	64.5044	1	apparentTempC	51.4661	-3.3252	12.3702	2.0046																																			2	0.1176	0.1765	0.0294	0.0588	0.1401	32	2	0
35	MODEL	0.9659	64.7062	2	apparentTempC,windSpeedKPH	51.1488	0.0423	11.9321	1.9243											-0.9658	-0.1948																							3	0.1714	0.2571	0.0305	0.0857	0.2070	34	1	0
36	MODEL	0.9679	65.3268	2	apparentTempC,windSpeedKPH	50.6369	0.0534	12.0878	1.9238											-0.9889	-0.1937																							3	0.1667	0.2500	0.0303	0.0833	0.1874	35	1	0
37	MODEL	0.9679	65.9964	2	apparentTempC,windSpeedKPH	50.7798	0.0028	11.9471	1.9242											-0.9718	-0.1896																							3	0.1622	0.2432	0.0292	0.0811	0.1851	35	2	0
38	MODEL	0.9686	66.6799	2	apparentTempC,windSpeedKPH	50.4736	0.0824	11.9193	1.9216											-0.9577	-0.1880																							3	0.1579	0.2368	0.0289	0.0789	0.1806	36	2	0
39	MODEL	0.9704	67.7392	2	apparentTempC,windSpeedKPH	49.9226	-0.2322	12.2190	1.9319											-0.9535	-0.1882																							3	0.1538	0.2308	0.0287	0.0769	0.1779	37	2	0
40	MODEL	0.9732	72.8077	2	apparentTempC,windSpeedKPH	50.8961	1.4599	13.4087	1.8672											-1.0246	-0.2014																							3	0.1500	0.2250	0.0264	0.0750	0.2675	38	1	1
41	MODEL	0.9737	73.4345	2	apparentTempC,windSpeedKPH	50.5697	1.4486	13.3847	1.8675											-1.0206	-0.2017																							3	0.1463	0.2195	0.0261	0.0732	0.2656	39	1	1
42	MODEL	0.9733	74.8419	2	apparentTempC,windSpeedKPH	50.6845	1.2935	13.2594	1.8689											-0.9627	-0.1896																							3	0.1429	0.2143	0.0253	0.0714	0.2637	40	1	1
43	MODEL	0.9734	75.7310	2	apparentTempC,windSpeedKPH	50.8936	1.2506	13.1699	1.8682											-0.9355	-0.1837																							3	0.1395	0.2093	0.0244	0.0698	0.2597	40	2	1
44	MODEL	0.9741	76.7795	2	apparentTempC,windSpeedKPH	51.2993	1.4972	13.2711	1.8590											-0.9525	-0.1892																							3	0.1364	0.2045	0.0236	0.0682	0.2414	42	1	1
45	MODEL	0.9742	77.5739	2	apparentTempC,windSpeedKPH	51.4968	1.4535	13.1855	1.8612											-0.9372	-0.1883																							3	0.1333	0.2000	0.0230	0.0667	0.2373	43	1	1
46	MODEL	0.9739	79.5797	2	apparentTempC,windSpeedKPH	51.2257	1.7778	13.1495	1.8517											-0.9337	-0.1892																							3	0.1304	0.1957	0.0227	0.0652	0.2344	43	2	1
47	MODEL	0.9728	82.0728	2	apparentTempC,windSpeedKPH	51.1904	1.9079	12.9734	1.8467											-0.9770	-0.1996																							3	0.1277	0.1915	0.0222	0.0638	0.2329	44	2	1
48	MODEL	0.9730	82.6579	2	apparentTempC,windSpeedKPH	51.0019	1.9276	12.9165	1.8462											-0.9840	-0.2004																							3	0.1250	0.1875	0.0218	0.0625	0.2307	46	1	1
49	MODEL	0.9736	83.3467	2	apparentTempC,windSpeedKPH	51.2923	2.0917	12.9530	1.8410											-1.0226	-0.2075																							3	0.1224	0.1837	0.0213	0.0612	0.2179	47	1	1
50	MODEL	0.9734	84.2274	2	apparentTempC,windSpeedKPH	51.2886	2.2452	12.8042	1.8379											-1.0642	-0.2153																							3	0.1200	0.1800	0.0209	0.0600	0.2179	47	2	1
51	MODEL	0.9731	85.2537	2	apparentTempC,windSpeedKPH	51.3375	2.1380	12.6907	1.8392											-1.0289	-0.2077																							3	0.1176	0.1765	0.0204	0.0588	0.2170	48	2	1
52	MODEL	0.9734	86.2648	2	apparentTempC,windSpeedKPH	51.0770	2.0909	12.6672	1.8411											-1.0618	-0.2136																							3	0.1154	0.1731	0.0201	0.0577	0.2162	49	2	1
53	MODEL	0.9723	90.5218	2	apparentTempC,windSpeedKPH	51.3869	2.1009	12.6725	1.8466											-1.1376	-0.2284																							3	0.1132	0.1698	0.0196	0.0566	0.2117	50	2	1
54	MODEL	0.9729	91.3753	2	apparentTempC,windSpeedKPH	51.0812	2.2463	12.7359	1.8422											-1.1316	-0.2287																							3	0.1111	0.1667	0.0194	0.0556	0.2079	51	2	1
55	MODEL	0.9743	92.0950	2	apparentTempC,windSpeedKPH	51.5168	2.4327	13.0325	1.8359											-1.1511	-0.2343																							3	0.1091	0.1636	0.0189	0.0545	0.1889	52	2	1
56	MODEL	0.9743	92.6916	2	apparentTempC,windSpeedKPH	51.4710	2.4105	12.9194	1.8362											-1.1384	-0.2338																							3	0.1071	0.1607	0.0185	0.0536	0.1889	53	2	1
57	MODEL	0.9733	96.2695	2	apparentTempC,windSpeedKPH	51.2606	1.8462	12.9578	1.8497											-1.0266	-0.2103																							3	0.1053	0.1579	0.0182	0.0526	0.1882	54	2	1
58	MODEL	0.9774	97.6970	2	apparentTempC,windSpeedKPH	52.0457	2.4647	14.1725	1.8289											-1.0929	-0.2253																							3	0.1034	0.1552	0.0176	0.0517	0.2594	55	2	1
59	MODEL	0.9773	98.7035	2	apparentTempC,windSpeedKPH	52.1747	2.5014	14.0815	1.8268											-1.0855	-0.2257																							3	0.1017	0.1525	0.0173	0.0508	0.2563	56	2	1
60	MODEL	0.9777	99.3596	2	apparentTempC,windSpeedKPH	51.9141	2.4634	14.0871	1.8280											-1.0907	-0.2273																							3	0.1000	0.1500	0.0171	0.0500	0.2558	57	2	1
61	MODEL	0.9776	100.1393	2	apparentTempC,windSpeedKPH	51.8980	2.5523	13.9637	1.8265											-1.1178	-0.2324																							3	0.0984	0.1475	0.0168	0.0492	0.2547	58	2	1
62	MODEL	0.9766	103.4446	2	apparentTempC,windSpeedKPH	52.0045	2.4622	13.8841	1.8301											-1.0704	-0.2238																							3	0.0968	0.1452	0.0165	0.0484	0.2523	59	1	2
63	MODEL	0.9766	104.3853	2	apparentTempC,windSpeedKPH	52.1136	2.5174	13.7809	1.8300											-1.0984	-0.2291																							3	0.0952	0.1429	0.0162	0.0476	0.2523	60	1	2
64	MODEL	0.9763	105.6572	2	apparentTempC,windSpeedKPH	52.1313	2.4218	13.6802	1.8309											-1.0651	-0.2218																							3	0.0938	0.1406	0.0159	0.0469	0.2522	61	1	2
65	MODEL	0.9767	106.2035	2	apparentTempC,windSpeedKPH	51.9109	2.4355	13.6794	1.8305											-1.0586	-0.2216																							3	0.0923	0.1385	0.0157	0.0462	0.2512	62	1	2
66	MODEL	0.9770	106.8419	2	apparentTempC,windSpeedKPH	51.6856	2.4127	13.6718	1.8314											-1.0744	-0.2240																							3	0.0909	0.1364	0.0156	0.0455	0.2511	63	1	2
67	MODEL	0.9775	107.5152	2	apparentTempC,windSpeedKPH	51.4177	2.4465	13.7183	1.8300											-1.0689	-0.2206																							3	0.0896	0.1343	0.0155	0.0448	0.2508	64	1	2
68	MODEL	0.9781	108.7122	2	apparentTempC,windSpeedKPH	51.7421	2.5375	13.8525	1.8250											-1.0544	-0.2171																							3	0.0882	0.1324	0.0151	0.0441	0.2439	65	1	2
69	MODEL	0.9781	109.2251	2	apparentTempC,windSpeedKPH	51.6677	2.5097	13.7736	1.8256											-1.0497	-0.2158																							3	0.0870	0.1304	0.0149	0.0435	0.2418	66	1	2
70	MODEL	0.9782	109.9222	2	apparentTempC,windSpeedKPH	51.5133	2.4434	13.7192	1.8267											-1.0681	-0.2064																							3	0.0857	0.1286	0.0148	0.0429	0.2374	66	1	3
71	MODEL	0.9781	110.8505	2	apparentTempC,windSpeedKPH	51.5767	2.5105	13.6170	1.8259											-1.0933	-0.2111																							3	0.0845	0.1268	0.0145	0.0423	0.2373	67	1	3
72	MODEL	0.9782	113.1041	2	apparentTempC,windSpeedKPH	51.8562	2.3336	13.7251	1.8332											-1.0716	-0.2083																							3	0.0833	0.1250	0.0143	0.0417	0.2302	68	1	3
73	MODEL	0.9781	115.5317	2	apparentTempC,windSpeedKPH	51.5942	2.4193	13.7955	1.8288											-1.0235	-0.1947																							3	0.0822	0.1233	0.0142	0.0411	0.2300	69	1	3
74	MODEL	0.9777	118.5743	2	apparentTempC,windSpeedKPH	51.7936	2.4463	13.7699	1.8312											-1.0676	-0.2029																							3	0.0811	0.1216	0.0139	0.0405	0.2294	70	1	3
75	MODEL	0.9777	119.0986	2	apparentTempC,windSpeedKPH	51.7501	2.4410	13.6805	1.8313											-1.0640	-0.2020																							3	0.0800	0.1200	0.0138	0.0400	0.2282	71	1	3
76	MODEL	0.9777	119.5910	2	apparentTempC,windSpeedKPH	51.7853	2.4408	13.5920	1.8313											-1.0570	-0.2020																							3	0.0789	0.1184	0.0136	0.0395	0.2278	72	1	3
77	MODEL	0.9776	120.3185	2	apparentTempC,windSpeedKPH	51.7401	2.4363	13.5036	1.8312											-1.0580	-0.2033																							3	0.0779	0.1169	0.0135	0.0390	0.2275	73	1	3
78	MODEL	0.9777	120.8111	2	apparentTempC,windSpeedKPH	51.6234	2.4481	13.4514	1.8309											-1.0515	-0.2031																							3	0.0769	0.1154	0.0133	0.0385	0.2274	73	2	3
79	MODEL	0.9769	124.7242	2	apparentTempC,windSpeedKPH	51.7575	2.5635	13.3778	1.8307											-1.1084	-0.2138																							3	0.0759	0.1139	0.0131	0.0380	0.2273	74	2	3
80	MODEL	0.9774	125.2126	2	apparentTempC,windSpeedKPH	51.5371	2.5624	13.4191	1.8308											-1.1098	-0.2139																							3	0.0750	0.1125	0.0130	0.0375	0.2267	75	2	3
81	MODEL	0.9792	126.1063	2	apparentTempC,windSpeedKPH	52.0094	2.7227	13.9540	1.8244											-1.1122	-0.2140																							3	0.0741	0.1111	0.0127	0.0370	0.2083	76	3	2
82	MODEL	0.9786	128.8664	2	apparentTempC,windSpeedKPH	51.9903	2.7710	13.8532	1.8222											-1.1317	-0.2189																							3	0.0732	0.1098	0.0126	0.0366	0.2072	77	3	2
83	MODEL	0.9784	130.2149	2	apparentTempC,windSpeedKPH	51.9289	2.7863	13.7661	1.8216											-1.1491	-0.2228																							3	0.0723	0.1084	0.0125	0.0361	0.2066	78	2	3
84	MODEL	0.9788	130.7735	2	apparentTempC,windSpeedKPH	51.7034	2.7681	13.8100	1.8223											-1.1627	-0.2242																							3	0.0714	0.1071	0.0124	0.0357	0.2064	79	2	3
85	MODEL	0.9791	131.2927	2	apparentTempC,windSpeedKPH	51.5136	2.7592	13.8152	1.8227											-1.1746	-0.2254																							3	0.0706	0.1059	0.0123	0.0353	0.2063	79	3	3
86	MODEL	0.9792	132.4293	2	apparentTempC,windSpeedKPH	51.3449	2.6296	13.8307	1.8261											-1.1528	-0.2225																							3	0.0698	0.1047	0.0122	0.0349	0.2045	80	3	3
87	MODEL	0.9831	133.7580	2	apparentTempC,windSpeedKPH	52.1131	2.2578	15.4484	1.8395											-1.1336	-0.2184																							3	0.0690	0.1034	0.0119	0.0345	0.2118	81	3	3
88	MODEL	0.9831	134.4754	2	apparentTempC,windSpeedKPH	52.1128	2.1438	15.3836	1.8421											-1.1436	-0.2095																							3	0.0682	0.1023	0.0119	0.0341	0.2096	82	3	3
89	MODEL	0.9831	134.9235	2	apparentTempC,windSpeedKPH	52.0229	2.1428	15.3170	1.8422											-1.1381	-0.2095																							3	0.0674	0.1011	0.0118	0.0337	0.2095	83	3	3
90	MODEL	0.9832	135.3789	2	apparentTempC,windSpeedKPH	52.1019	2.1505	15.2505	1.8418											-1.1347	-0.2099																							3	0.0667	0.1000	0.0117	0.0333	0.2079	84	3	3
91	MODEL	0.9834	135.9079	2	apparentTempC,windSpeedKPH	51.9075	2.1439	15.2528	1.8422											-1.1536	-0.2118																							3	0.0659	0.0989	0.0116	0.0330	0.2072	85	3	3
92	MODEL	0.9836	136.3423	2	apparentTempC,windSpeedKPH	51.7298	2.1328	15.2553	1.8426											-1.1507	-0.2119																							3	0.0652	0.0978	0.0116	0.0326	0.2061	86	3	3
93	MODEL	0.9836	137.4439	2	apparentTempC,windSpeedKPH	51.5874	1.9811	15.2593	1.8461											-1.1197	-0.2059																							3	0.0645	0.0968	0.0114	0.0323	0.2046	87	3	3
94	MODEL	0.9836	137.8813	2	apparentTempC,windSpeedKPH	51.6903	1.9889	15.2000	1.8461											-1.1256	-0.2067																							3	0.0638	0.0957	0.0112	0.0319	0.2039	88	3	3
95	MODEL	0.9834	140.1885	2	apparentTempC,windSpeedKPH	51.8203	2.0423	15.1460	1.8465											-1.1585	-0.2125																							3	0.0632	0.0947	0.0110	0.0316	0.2031	89	3	3
96	MODEL	0.9847	140.6144	2	apparentTempC,windSpeedKPH	52.2910	2.0137	15.7188	1.8476											-1.1593	-0.2124																							3	0.0625	0.0938	0.0108	0.0312	0.1853	89	3	4
97	MODEL	0.9847	141.3137	2	apparentTempC,windSpeedKPH	52.4086	2.0023	15.6750	1.8472											-1.1493	-0.2104																							3	0.0619	0.0928	0.0107	0.0309	0.1841	90	3	4
98	MODEL	0.9849	141.7013	2	apparentTempC,windSpeedKPH	52.5604	2.0026	15.6543	1.8473											-1.1511	-0.2106																							3	0.0612	0.0918	0.0105	0.0306	0.1825	91	3	4
99	MODEL	0.9843	145.8649	2	apparentTempC,windSpeedKPH	52.6618	1.8744	15.6261	1.8516											-1.1043	-0.2025																							3	0.0606	0.0909	0.0105	0.0303	0.1812	92	3	4
100	MODEL	0.9844	147.3430	2	apparentTempC,windSpeedKPH	52.4753	1.9330	15.6493	1.8495											-1.0883	-0.1990																							3	0.0600	0.0900	0.0104	0.0300	0.1801	93	3	4
